"","job_title","Less_than_1_year","Four_Plus_years","Five_to_Nine_years","Ten_to_Nineteen_years","Twenty_plus_years"
"1100","Home Health Care Provider",9.92,10.12,9.89,10.84,11.64
"1101","Certified Dialysis Technician",14.86,16.26,17.62,19.93,21.35
"1102","State Tested Nurses Aide (STNA)",11.22,11.94,12.71,13.41,13.28
"1103","Certified Medication Technician (CMT)",12.4,13.09,13.46,14.56,14.81
"1104","Certified Home Health Aide (CHHA)",12.16,12.55,12.78,13.34,14.32
"1105","Orthodontic Treatment Coordinator",17.31,18.48,20.25,22.28,24.48
"1106","Nurse Assistant",12.92,13.35,14.64,14.56,14.88
"1107","Home Care Aide",12.61,12.77,12.31,13.23,13.26
"1108","Lead Medical Assistant",16.9,18.27,19.44,20.32,NA
"1109","Home Health Caregiver",10.66,11.29,11.21,12.3,12.67
"1110","Sterile Processing Supervisor",19.58,21.81,23.15,22.98,NA
"1111","Personal Caregiver",10.72,12.09,13.44,14.34,14.68
"1112","Certified/Registered Dental Assistant (CDA/RDA)",13.52,17.06,19.38,21.04,22.47
"1113","Rehabilitation Technician",12.41,12.48,12.78,14.57,15.15
"1114","Senior Caregiver",10.79,11.92,13.27,13.79,14.81
"1115","Licensed Physical Therapist Assistant (LPTA)",24.11,24.55,28.02,29.92,30.4
"1116","Dental Assistant, Registered Expanded Function (RDAEF)",20,21.44,25.53,24.86,25.21
"1117","Sterile Processing Manager",59861.21,73856.43,77901.05,75903.35,NA
"1118","Hospice Aide",13.27,13.67,13.89,15.01,15.09
"1119","Resident Assistant",11,11.47,12.73,13.15,13.42
"1120","Certified Hemodialysis Technician",14.68,16.13,17.4,18.7,20.98
"1121","Authorization Coordinator",14.72,16.36,17.3,18.32,19.24
"1122","Clinical Assistant",13.89,14.92,16.27,18.22,17.75
"1123","Patient Care Associate",13.33,13.94,14.51,16.58,17.95
"1124","Certified Dental Assistant (CDA)",14.52,15.88,17.58,18.57,21.01
"1125","In-Home Support Services (IHSS) Caregiver",12.45,12.77,12.56,12.94,12.86
"1126","Sterilization Technician",13.5,14.48,15.72,16.62,18.05
"1127","Decision Support Analyst",55286.7,62192.48,72045.07,88062.95,86325.39
"1128","Restorative Aide",12.22,12.85,13.43,13.69,15.54
"1129","Residential Support Worker",12.89,12.92,12.97,13.36,15.17
"1130","Dental Assistant, Surgical",14.85,16.5,19.13,19.93,21.13
"1131","Personal Support Worker (PSW)",13.32,14.18,14.87,16.07,15.82
"1132","Rehabilitation Aide",11.56,12.6,13.89,14.43,15.41
"1133","Optometric Assistant",13.23,13.89,16.19,15.57,16.8
"1134","Health Care Aide",12.48,12.43,13.45,13.03,13.2
"1135","Medical Assistant Supervisor",18.37,18.55,18.91,21.11,NA
"1136","Pharmacy Assistant",12.91,13.36,15.21,18.33,22.96
"1137","Central Service Technician",15.07,15.58,17,16.39,17.47
"1138","Certified Paraoptometric Assistant (CPOA)",14.62,15.52,15.26,17.25,NA
"1139","Certified Caregiver",13.98,11.85,14.15,13.7,13.66
"1140","Hemodialysis Technician",15.02,16.63,18.51,20.36,21.08
"1141","Occupational Therapist Assistant",24.17,25.02,28.74,30.21,31.31
"1142","X-Ray Certified Dental Assistant",13.47,15.1,18.03,18.64,20.11
"1143","Licensed Massage Therapist",16,21.58,22.68,26.25,37
"1144","Physical Therapist Aide",12.07,12.03,14.72,15.16,21.69
"1145","Physical Therapy Technician",10.91,12.04,12,14.09,14.8
"1146","Pharmacy Clerk",11.85,11.87,12.1,14.2,12.75
"1147","Certified Registered Medication Aide",12.4,12.75,13.52,14.54,14.21
"1148","Clinical Medical Assistant",13.16,14.47,15.71,17.41,17.56
"1149","Nurse Aide, Orderly, or Attendant",10.77,12.06,12.21,12.75,13.65
"1150","Home Care Worker",10.71,11.29,12.9,13.51,14.38
"1151","Resident Care Aide",10.89,11.25,11.85,11.9,14
"1152","Residential Caregiver",10.17,11.81,11.7,11.61,12.14
"1153","Human Resources (HR) Manager",53196.67,60834.01,69861.81,74480.86,76358.37
"1154","Human Resources (HR) Generalist",48461.8,53791.02,58635.62,59872.97,60319.15
"1155","Human Resources (HR) Director",56831.36,66888.17,82730.49,96350.04,100942.36
"1156","Human Resources (HR) Coordinator",18.29,19.67,20.54,20.95,20.98
"1157","Recruiter",43339.22,51211.45,60127.99,64053.61,65152.98
"1158","Human Resources (HR) Business Partner",61839.22,68729.85,77128.69,82389.31,86884.6
"1159","Human Resources (HR) Administrator",43585.3,48858.94,53351.11,55641.38,58775.01
"1160","Vice President (VP), Human Resources (HR)",80000,96974.18,120480.36,143598.78,150514.1
"1161","Director of Human Resources (HR)",59012.18,70150.16,87644.81,102172.53,109009.48
"1162","Talent Acquisition Specialist",48049.03,55108.48,62737.55,68376.28,69398.48
"1163","Training & Development Manager",56168.17,67770.64,77958.3,88973.58,87476.12
"1164","Senior Human Resources (HR) Generalist",55107.46,65654.92,69609.91,70581.85,73322.34
"1165","Recruiting Coordinator",47871.3,50486.59,53325.64,53960.57,56462.83
"1166","Training Coordinator",45101.65,48917.77,51927.89,55430.4,59708.17
"1167","Senior Recruiter",45279.91,61625.75,76139.32,82867.21,86356.89
"1168","Sr. Human Resources (HR) Manager",79517.19,89603.5,93993.15,97222.23,NA
"1169","Training Manager",53739.95,61385.01,70020.33,76636.23,79789.26
"1170","Benefits Specialist",44941.84,50703.68,55682.6,56041.47,58191.44
"1171","Talent Acquisition Manager",54220.48,70319.64,81105.97,91904.46,96450.22
"1172","Corporate Recruiter",45180.99,57308.17,64959.7,69778.06,72042.91
"1173","Training Specialist",48401.53,53961.63,61221.59,63260.51,63869.9
"1174","Corporate Trainer",46068.39,51474.72,58407.65,63817.26,73319.37
"1175","Training & Development Specialist",50131.81,53759.26,60823.46,63346.22,71108.2
"1176","Sr. Human Resources (HR) Business Partner",82321.38,91874.55,100237.73,102763.49,NA
"1177","Technical Recruiter",43603.23,59396.31,74964.24,74980.09,90783.06
"1178","Recruiting Manager",48718.72,62184.36,78899.35,86668.26,84240.12
"1179","Benefits Manager",59201.5,65560.89,73893.44,83226.59,87728.17
"1180","Compensation Analyst",57684.4,63016.67,70512.16,70999.75,82533.73
"1181","Training Director",61767.91,70448.9,82462.66,100743.17,107617.96
"1182","Training Instructor",49117.58,54510.12,59261.3,61790.81,66263.8
"1183","Human Resources (HR) Representative",43396.2,48829.76,55604.77,56954.34,57808.16
"1184","Benefits Administrator",46008.55,50624.8,58194.19,62294.22,62301.38
"1185","Technical Trainer",55441.88,60228.06,69964.53,74996.03,78266.56
"1186","Payroll & Benefits Administrator",45140.57,48862.2,53661.8,56508.15,60674.71
"1187","Benefits Analyst",51245.38,55433.1,63763.72,66027.08,66230.91
"1188","Human Resources (HR) Recruiter",44876.81,47953.41,56511.98,58575.72,61445.11
"1189","Employment, Recruitment, or Placement Specialist / Recruiter",40058.82,45883.27,51290.53,53483.58,61039.11
"1190","Senior Technical Recruiter",66702.36,88301.94,95781.98,96198.69,NA
"1191","Trainer, Employee / Human Resources (HR)",12.46,14.83,17.37,19.09,21.95
"1192","Payroll & Benefits Manager",52123.2,60392.56,69390.59,71877.79,79247.93
"1193","Talent Acquisition Coordinator",19.73,21.47,23.61,22.95,NA
"1194","Recruiting Specialist",44715.58,51779.11,58941.82,57027.78,51332.29
"1195","Talent Acquisition Director",79921.75,108606.17,121257.41,128287.98,NA
"1196","Human Resources Information Systems Manager (HRIS)",70951.57,78128.38,91274.61,98417.37,108352.57
"1197","Diversity Manager",69826.14,75996.03,85544.62,96264.08,103114.35
"1198","Employee Relations Manager",54456.51,67503.95,76358.4,85091.79,84873.16
"1199","Senior Analyst, Compensation",69822.81,81171.54,87122.41,94039.66,97800.21
"1200","Regional Human Resources (HR) Manager",70848.38,83629.76,89588.57,90831.22,NA
"1201","Retirement Plan Specialist",42234.06,47929.91,55180.2,64422.39,69347.36
"1202","Software Trainer",51197.25,57315.02,64534.04,62927.48,66567.85
"1203","Consultant, Learning and Development",55192.98,67135.74,79224.49,89040.38,98365.82
"1204","Staffing Manager",43728.06,47058.13,51424.29,56204.02,65000
"1205","Sales Trainer",51636.54,60348.31,69122.72,73260.19,77502.11
"1206","Executive Recruiter",47384.67,53596.48,71791.07,93532.82,118183.47
"1207","Organizational Development Manager",64176.41,77946.06,89321.53,97425.18,101451.98
"1208","Outreach Specialist",40421.83,43226.4,48667.26,49726.43,60781.71
"1209","Recruitment Manager",49716.16,57787.1,69647.64,78168.48,87352.18
"1210","Senior Corporate Recruiter",69624.11,77593.56,83714.47,85934.1,NA
"1211","Compensation Manager",72318.38,90887.5,98905.11,112564.1,113127.43
"1212","Customer Service Trainer, Call Center",14.15,16.08,17.3,18.2,16.18
"1213","Staffing Specialist",15.13,15.7,18.07,17,16
"1214","Technical Training Instructor",52795.86,59404.16,70556.69,72724.69,70189.72
"1215","Senior Benefits Analyst",66956.17,72924.69,78048.22,80904.24,NA
"1216","People Operations Manager",74991.6,83758.29,87428.57,NA,NA
"1217","Training Supervisor",53239.28,56554.32,62628.68,61698.72,70780.56
"1218","Learning Specialist",53747.88,54362.08,59298.12,61337.97,67407.41
"1219","Staff Development Coordinator",26.73,25.48,28.85,31.12,31.59
"1220","Technical Sourcer",60334.72,79499.57,92717.51,86380.66,NA
"1221","Organizational Development Director",85304.73,104117.23,127526.58,129455.63,NA
"1222","Pension Administrator",43685.14,46283.19,58178.74,62742.29,69410.86
"1223","Campus Recruiter",49319.82,62150.49,68973.93,59072.01,NA
"1224","Training Development Director",73679.33,91674.41,106620.03,115848.47,NA
"1225","Healthcare Recruiter",40241.43,46017.85,53388.81,61767.97,62000
"1226","Leave of Absence Administrator",38000,49499.77,52294.54,63881.68,67060.18
"1227","Assistant Human Resources (HR) Manager",45241.88,55039.52,59014.11,65318.62,63860.09
"1228","Manager, Compensation & Benefits",61429.98,75803.06,85067.65,95985.41,96916.52
"1229","Training Facilitator",41906.55,49074.87,55802.98,58816.7,66911.74
"1230","Workers' Compensation Administrator",44673.82,49420.47,55800.98,63434.47,75000
"1231","Project Manager, Training & Development",50675.95,65624.6,74729.5,80106.51,82859.32
"1232","Education Consultant",50420.13,58566.96,63166.6,67652.81,67976.86
"1233","Career Development Specialist",41659.79,43324.69,47959.62,51070.64,49416.43
"1234","Senior Talent Acquisition Manager",78119.23,95520.06,116360.47,118987.56,NA
"1235","Assistant Director of Human Resources (HR)",40000,57072.66,71619.36,75784.23,76163.62
"1236","Talent Acquisition Consultant",47767.77,60581.43,67254.12,82337.54,102439.02
"1237","Consultant, Education/Training",44000,63408.96,68826.74,73781.17,73259.7
"1238","Benefits Director",85165.67,107500,122053.07,125824.15,NA
"1239","Vocational Training Instructor",43909.09,41184.12,47174.88,49220.89,50379.58
"1240","Physician Recruiter",47689.73,58552.62,69592.2,74535.83,78613.78
"1241","Compensation Specialist",53101.52,58560.49,71093.71,70791.26,77419.35
"1242","Information Technology (IT) Trainer",56946.5,54531.53,64999.79,74132.9,85292.36
"1243","Stock Plan Administrator",72264.25,83306.18,98626.84,102021.1,NA
"1244","Global Mobility Specialist",55490.3,61000.16,75413.41,81211.83,NA
"1245","Recruitment Consultant",40298.51,50936.35,64637.32,63871.29,74750
"1246","Analyst, Compensation & Benefits",55728.6,63201.52,70694.57,74551.8,75000
"1247","Educational Consultant",44206.69,57931.03,63423.94,69647.54,75054.51
"1248","Compensation Consultant",66015.52,77747.42,89124.78,102894.55,115959.3
"1249","Director, Compensation",117449.3,125190.71,147150.3,154191.08,NA
"1250","Staffing Recruiter",14.92,15.34,16.13,16,NA
"1251","Job Developer",15.58,17.23,16.5,17.59,19.11
"1252","Director of Program Management, Human Services",41445.78,53085.11,62644.98,72099.95,75020.88
"1253","Software Engineer",77435.44,85763.65,97215.47,107425.81,116079.04
"1254","Senior Software Engineer",103389.84,113794.72,119151.26,123713.6,125128.97
"1255","Software Developer",63800.84,70783.34,83744.28,93982.83,98389.99
"1256","Information Technology (IT) Manager",64677.97,69168.81,80803.04,94346.94,100752.77
"1257","Systems Administrator",51648.16,58475.94,64602.93,71553.91,76917.11
"1258","Information Technology (IT) Director",78671.89,84604.18,99512.54,124554.21,132801.06
"1259","Data Scientist",85254.42,95785.8,110252.62,121877.86,134109.92
"1260","Sr. Software Engineer / Developer / Programmer",83464.37,97083.73,104357.51,113115.2,115069.1
"1261","Product Manager, Software",80061.88,94110.69,106551.23,114101.68,125349.47
"1262","Web Developer",50762.19,58415.17,67513.46,72504.83,80478.11
"1263","Senior Systems Engineer",91230.47,95335.12,102393.37,112980.47,123299.42
"1264","Project Manager, Information Technology (IT)",63651.37,73104.66,89166.72,102586.36,111933.84
"1265","Information Technology (IT) Support Specialist",41599.96,47792.68,53097.92,58896.24,64625.21
"1266","Network Engineer",60084.62,68426.76,78301.06,86554.32,94273.95
"1267","Business Analyst, IT",60065.17,66234.06,77359.2,86494.76,90184.62
"1268","Support Technician, Information Technology (IT)",16.08,17.83,20.67,22.74,25.37
"1269","Information Technology Specialist",47412.65,50675.14,58893.15,71288.97,83772.43
"1270","Front End Developer / Engineer",61125.85,73369.68,85268.52,88835.37,92279.88
"1271","Quality Assurance (QA) Engineer",61202.61,68169.59,79183.92,83103.79,85462.62
"1272","Information Technology (IT) Consultant",64181.22,72071.9,87387.88,101989.02,114822.93
"1273","Software Engineer / Developer / Programmer",68548.55,76740.48,88650.79,96870.95,98543.37
"1274","Data Engineer",77541.36,88202.26,103615.98,117463.99,117775.72
"1275","Operations Analyst",51708.31,57808.38,63869.15,64971.12,70391.55
"1276","Senior Project Manager, IT",89692.23,92813.47,106853.37,119312.9,123385.12
"1277","Systems Analyst",57446.15,62577.26,71816.66,78018.2,85113.03
"1278","Lead Software Engineer",94257.79,99251.39,118165.57,126486.11,132396.15
"1279","Business Intelligence (BI) Analyst",60489.16,68656.68,78621.18,86044.1,94004.9
"1280","Business Systems Analyst",59659.12,65690.05,77761.55,85249.35,89086.48
"1281","Help Desk Technician",15.75,17.36,19.93,21.07,22.03
"1282","Solutions Architect",74611.51,94627.37,117117.13,129828.3,136913.45
"1283","Technical Support Specialist",45950.3,48833.06,54854.2,60749.61,71836.97
"1284","Principal Software Engineer",109959.82,117950.36,133045.47,143018.26,148281.52
"1285","Systems Engineer, IT",62533.9,70150.49,78558.67,86007.3,94487.67
"1286","Network Administrator",49403.37,54492.09,61966.07,67490.44,73874.09
"1287","Product Owner",69029.69,79578.58,96903.97,108264.05,114718.31
"1288","Development Operations (DevOps) Engineer",74745.05,88145.99,105381.03,123131.01,130638.63
"1289","Applications Engineer",63592.23,70370.52,80314.02,90707.78,90854.46
"1290","Test / Quality Assurance (QA) Engineer (Computer Software)",58711.54,66137.73,78180.81,85474.03,87092.88
"1291","Network Technician",18.16,19.82,23.28,27.85,31.09
"1292","System Administrator, Computer / Network",52427.82,56918.94,63384.03,68059.11,73464.5
"1293","Cyber Security Analyst",63471.67,72369.82,88865.49,101551.39,112831.34
"1294","Database Administrator (DBA)",55976.48,63885.92,79073.58,90395.7,99029.18
"1295","Software Engineering Manager",121730.1,130351.91,138147.95,145659.24,145769.39
"1296","Senior Systems Administrator",68681.49,75448.25,82955.4,88688.59,93066.67
"1297","Technical Project Manager",70023.33,81546.96,94952.66,109650.96,113855.17
"1298","Business Intelligence (BI) Developer",62058.59,73572.05,90613.35,98868.08,100584.1
"1299","Salesforce Administrator",58139.94,66591.68,82195.85,90517.97,96906.94
"1300","Systems Engineer (Computer Networking / IT)",66189.61,69988.7,76345.73,85449.17,92882.63
"1301","Application Developer",59622.19,67110.08,81312,88188.56,93101.34
"1302","Sr. Network Engineer",71387.51,88699.06,98646.28,106596.51,110819.45
"1303","Junior Software Engineer",61843.7,63314.11,75489.12,61041.89,NA
"1304","Vice President (VP), Information Technology (IT)",104963.96,126546.27,133695.54,151397.61,164379.78
"1305","Program Manager, IT",84335.03,91433.66,106553.98,122673.34,130268.02
"1306","Associate Software Engineer",70809.26,72689.89,93739.38,105822.97,99989.73
"1307","Programmer Analyst",57390.44,62937.56,71822.28,78867.96,83376.9
"1308","Full Stack Software Developer",65986.21,75924.1,93454.08,103816.89,100383.9
"1309","Technical Program Manager (TPM)",90661.72,106171.83,126366.92,138088.92,141694.82
"1310","Security Engineer",72195.27,86495.82,102858.62,115976.62,119121.87
"1311","Technical Consultant",68391.87,73294.66,84584.33,97795.33,107710.09
"1312","Software Development Manager",98813.59,102416.42,118475.29,129804.45,136557.27
"1313","Senior Systems Analyst",75506.21,78868.95,86897.32,93753.75,98957.91
"1314","Technical Support Engineer",58865.71,61518.03,69757.9,77073.52,79921.29
"1315","Analytics Manager",72930.82,88614.56,102213.1,110666.6,116077.23
"1316","Senior Data Scientist",106812.15,122663.41,131315.73,140325.11,143516.79
"1317","Team Leader, IT",60103.33,66648.98,85583.35,98818.17,106014.9
"1318","Software Architect",85672.45,101551.7,119821.59,129845.98,138170.34
"1319","Quality Assurance Analyst",47996.04,52985.37,62676.23,69785.04,77304.99
"1320","Senior Technical Consultant",92665.15,91842.84,102160.45,113773.69,123109.03
"1321",".NET Software Developer / Programmer",54461.89,65827.78,80678.58,93176.57,101267.19
"1322","Software Development Engineer (SDE)",104753.87,110075.22,126029.03,137050.11,120556.53
"1323","Senior Web Developer",80101.68,86477.53,92947.9,96480.35,NA
"1324","Systems Specialist",54035.6,57570.69,63877.6,71609.4,73213.12
"1325","Computer / Network Support Technician",15.76,17.61,21.45,22.65,24.52
"1326","Content Manager",46055.98,55148.55,65002.23,74523.63,76703.91
"1327","ScrumMaster",69426.4,83055.07,101182.22,109253.21,115973.25
"1328","Director of Analytics",102009.75,103084.97,124300.82,141007.7,145466.95
"1329","Senior Database Administrator (DBA)",87536.87,102387.45,113753.73,118668.75,NA
"1330","Certified ScrumMaster (CSM)",69014,83228.21,102258.58,111150.21,115122.71
"1331","Embedded Software Engineer",73808.33,80853.15,94162.19,107177.95,123872.42
"1332","Support Analyst, Information Technology (IT)",49320.72,50833.06,58425.85,65962.41,69442.95
"1333","Certified ScrumMaster (CSM)",69014,83228.21,102258.58,111150.21,115122.71
"1334","Geographic Information Systems (GIS) Analyst",46170.45,52616.54,61062.43,64470.62,88886.25
"1335","Implementation Manager",60411.23,68326.74,81058.3,87977.05,101195.84
"1336","Digital Strategist",44933.09,57291.66,69419.82,90805.68,103912.85
"1337","Staff Software Engineer",80575.68,114184.66,144734.14,148826.54,145668.91
"1338","Test / Quality Assurance (QA) Analyst, (Computer Software)",50698.57,57846.18,71309.25,75010.24,83827.47
